species,DUST_JKT_PP1_0001,DUST_IDM_PP2_000P,DUST_IDM_PP3_000P,DUST_CLP_PP4_000P,DUST_SBY_BP1_0027,DUST_SBY_PP5_000P,DUST_BYW_PP6_000P
Sphyrna lewini,0,540.0222218,543.4924103,341.5728326,2.645751311,471.5930449,455.4305655
Carcharhinus falciformis,0,2.236067977,32.31098884,781.0909038,14.56021978,65.94694838,220.972849
Sphyrna zygaena,0,34.84250278,69,780.8956396,5.099019514,31.54362059,77.72387021
Carcharhinus sorrah,0,190.6593821,512.6997172,110.6074139,0,16.58312395,4.898979486
Sphyrna mokarran,0,251.988095,160.9378762,197.8307357,0,275.2907554,2.236067977
Stegostoma fasciatum,0,0,560.3882583,0,0,0,0
Glaucostegus typus,0,163.5267562,475.9821425,88.99438185,0,0,0
Galeocerdo cuvier,20.78460969,7.874007874,37.38983819,355.9915729,0,12.80624847,162.5084613
Carcharhinus macloti,0,114.4421251,420.4806773,5.744562647,0,2.449489743,4
Carcharhinus amblyrhynchoides,198.5975831,125.1159462,237.7120106,132.8796448,38.96151948,66.50563886,3.464101615
Carcharhinus longimanus,1.414213562,14.89966443,28.14249456,372.7666831,4.358898944,2.449489743,27.67670501
Alopias pelagicus,0,0,1.414213562,306.3657944,0,0,36.04164258
Prionace glauca,35.90264614,6.633249581,12.40967365,148.2599069,0,3.872983346,240.3643068
Rhynchobatus sp.,0,65.2610144,260.0038461,69.39020104,0,0,0
Alopias superciliosus,0,3.872983346,9.695359715,191.8879882,155.0419298,3.872983346,10.24695077
Rhizoprionodon oligolinx,1.732050808,61.35959583,162.1634977,11.5758369,2.645751311,3.741657387,7.549834435
Rhina ancylostoma,0,14.79864859,41.02438299,152.1742422,4,4.898979486,8.774964387
Hemigaleus australiensis,0,52.17278984,148.5294584,0,0,0,0
Rhynchobatus springeri,0,7.211102551,146.1984952,25.33771892,0,0,0
Isurus oxyrinchus,0,1.732050808,3.872983346,67.40178039,73.61385739,61.13918547,43.41658669
Carcharhinus melanopterus,0,4.358898944,10.39230485,7.141428429,93.93082561,32.89376841,73.68174808
Carcharhinus sp.,0,22.27105745,71.44928271,36.51027253,0,9.110433579,7
Himantura gerrardi,0,11.66190379,6.480740698,75.72318007,0,0,12.40967365
Hexanchus griseus,0,3,8.602325267,6.480740698,0,0,66.66333325
Eusphyra blochii,0,11.40175425,3.31662479,35.18522417,0,46.89349635,0
Mobula thurstoni,0,2.236067977,4.472135955,66.08328079,0,0,4.123105626
Himantura hortlei,0,2,4.358898944,62.35382907,0,0,2.236067977
Mustelus griseus,0,57.14017851,33.19638535,3,0,0,1.414213562
Himantura sp.,0,6.244997998,4.242640687,61.8950725,0,0,0
Carcharhinus tjutjot,0,35.53871129,41.0487515,3.31662479,0,0,0
Mobula sp.,0,0,3,54.77225575,0,0,7.874007874
Isurus paucus,0,4.898979486,8.062257748,41.32795664,2.645751311,3.31662479,6.480740698
Carcharhinus plumbeus,0,0,4.123105626,3.16227766,33.04542328,16.40121947,20.54263858
Carcharhinus amboinensis,0,2.449489743,16.37070554,36.49657518,0,2.828427125,3.16227766
Mustelus manazo,0,0,0,39.01281841,0,2.645751311,1.414213562
Gymnura poecilura,0,0,15.87450787,0,1.414213562,0,1.414213562
Chiloscyllium punctatum,0,9.797958971,30.85449724,0,0,0,0
Himantura granulata,0,0,0,32,0,0,0
Rhinobatinae,0,0,1.414213562,29.96664813,0,0,0
Dasyatis zugei,0,1.732050808,0,26.38181192,0,0,0
Pastinachus atrus,0,9.273618495,0,22.89104628,0,3.605551275,0
Loxodon macrorhinus,0,17.2626765,13.19090596,0,0,0,0
Himantura leoparda,0,0,0,22.4053565,0,0,0
Hemigaleus microstoma,0,5.196152423,21.65640783,0,0,0,0
Manta birostris,0,1.732050808,3,4.795831523,0,0,19.46792233
Mobula tarapacana,0,1.414213562,2.645751311,2,0,0,19.59591794
Squalus hemipinnis,1.414213562,0,0,17.43559577,0,0,1.414213562
Dasyatis thetidis,1.414213562,0,0,17.69180601,0,0,0
Carcharhinidae,0,7.810249676,10.24695077,5,0,0,2
Rhinoptera sp.,0,4.795831523,3.16227766,13.37908816,0,0,0
Hemipristis elongata,0,6.708203932,8.660254038,5.291502622,4.472135955,3,0
Neotrygon kuhlii,0,1.414213562,2,2,0,0,11.95826074
Himantura jenkinsii,0,0,0,12.52996409,0,0,0
Scoliodon macrorhynchos,0,4.472135955,9.38083152,0,0,0,0
Anoxypristis cuspidata,2.645751311,0,0,0,0,1.732050808,0
Carcharias taurus,0,0,0,5.567764363,0,0,0
Chiloscyllium plagiosum,0,0,5.291502622,0,0,0,0
Carcharhinus albimarginatus,0,0,0,0,0,4.582575695,0
Lamiopsis tephrodes,0,4,1.732050808,0,0,0,0
Carcharhinus leucas,0,0,0,3.16227766,0,0,0
Glyphis glyphis,0,0,0,0,0,2.828427125,0