Sample,DUST_JKT_PP1_0001,DUST_IDM_PP2_000P,DUST_IDM_PP3_000P,DUST_CLP_PP4_000P,DUST_SBY_BP1_0027,DUST_SBY_PP5_000P,DUST_BYW_PP6_000P,HTB_JKT_PP1_0001,HTB_IDM_PP2_0001,HTB_IDM_PP3_0001,HTB_CLP_PP4_0001,HTB_SBY_BP1_0001,HTB_SBY_PP5_0001,HTB_BYW_PP6_0001
Alopias pelagicus,0,0,1,1,0,0,1,0,0,0,1,0,0,0
Alopias superciliosus,0,1,1,1,1,1,1,1,0,0,1,0,0,0
Anoxypristis cuspidata,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Carcharhinidae,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Carcharhinus albimarginatus,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Carcharhinus amblyrhynchoides,1,1,1,1,1,1,1,0,0,0,1,0,0,0
Carcharhinus amboinensis,0,1,1,1,0,1,1,0,0,0,0,0,0,0
Carcharhinus brachyurus,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Carcharhinus brevipinna,0,0,0,0,0,0,0,0,1,0,1,1,0,1
Carcharhinus dussumieri,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carcharhinus falciformis,0,1,1,1,1,1,1,0,0,0,1,0,0,1
Carcharhinus leucas,0,0,0,1,0,0,0,0,0,0,1,1,0,0
Carcharhinus longimanus,1,1,1,1,1,1,1,1,0,1,1,1,0,0
Carcharhinus macloti,0,1,1,1,0,1,1,0,1,0,0,1,0,0
Carcharhinus melanopterus,0,1,1,1,1,1,1,0,0,0,0,0,0,1
Carcharhinus obscurus,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Carcharhinus plumbeus,0,0,1,1,1,1,1,0,0,0,1,0,0,0
Carcharhinus sorrah,0,1,1,1,0,1,1,0,1,1,1,1,0,0
Carcharhinus sp.,0,1,1,1,0,1,1,0,0,0,0,0,0,0
Carcharhinus tjutjot,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Carcharias taurus,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Chiloscyllium plagiosum,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chiloscyllium punctatum,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Dasyatis thetidis,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Dasyatis zugei,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Eusphyra blochii,0,1,1,1,0,1,0,0,0,0,0,0,0,0
Galeocerdo cuvier,1,1,1,1,0,1,1,0,0,1,1,0,0,1
Glaucostegus typus,0,1,1,1,0,0,0,0,0,1,0,0,1,0
Glyphis glyphis,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gymnura poecilura,0,0,1,0,1,0,1,0,0,0,0,0,0,0
Hemigaleus australiensis,0,1,1,0,0,0,0,0,1,1,1,0,0,0
Hemigaleus microstoma,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Hemipristis elongata,0,1,1,1,1,1,0,0,0,0,0,0,0,0
Hexanchus griseus,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Himantura gerrardi,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Himantura granulata,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Himantura hortlei,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Himantura jenkinsii,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Himantura leoparda,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Himantura sp.,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Himantura uarnak,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Isurus oxyrinchus,0,1,1,1,1,1,1,1,0,0,1,1,1,0
Isurus paucus,0,1,1,1,1,1,1,1,0,0,1,0,0,0
Lamiopsis tephrodes,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Lamna nasus,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Loxodon macrorhinus,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Mobula birostris,0,1,1,1,0,0,1,0,0,0,1,1,0,0
Mobula mobular,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mobula sp.,0,0,1,1,0,0,1,0,0,0,0,0,0,0
Mobula tarapacana,0,1,1,1,0,0,1,0,0,0,0,1,0,0
Mobula thurstoni,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Mustelus griseus,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Mustelus manazo,0,0,0,1,0,1,1,0,0,0,0,1,0,0
Neotrygon kuhlii,0,1,1,1,0,0,1,0,0,0,0,0,0,0
Pastinachus atrus,0,1,0,1,0,1,0,0,0,0,0,0,0,0
Pateobatis fai,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Prionace glauca,1,1,1,1,0,1,1,0,0,0,1,1,0,1
Rhina ancylostoma,0,1,1,1,1,1,1,0,0,0,0,1,1,0
Rhinobatinae,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Rhinobatos penggali,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rhinoptera sp.,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Rhizoprionodon oligolinx,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Rhizoprionodon taylori,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhynchobatus australiae,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rhynchobatus cf. laevis KKB_2014,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rhynchobatus sp.,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Rhynchobatus springeri,0,1,1,1,0,0,0,0,0,1,0,1,1,0
Scoliodon macrorhynchos,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Sphyrna lewini,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Sphyrna mokarran,0,1,1,1,0,1,1,0,1,1,1,0,1,0
Sphyrna zygaena,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Squalus hemipinnis,1,0,0,1,0,0,1,0,0,0,0,0,0,0
Stegostoma fasciatum,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Triaenodon obesus,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Urogymnus granulatus,0,0,0,0,0,0,0,0,0,0,1,0,0,0